Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1971","1971","kg/ha","1695","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1972","1972","ha","2300","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1972","1972","kg/ha","1072.6","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1973","1973","ha","2957","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1973","1973","kg/ha","1362.5","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1974","1974","ha","4813","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1974","1974","kg/ha","1316.2","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1975","1975","ha","3542","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1975","1975","kg/ha","1463.3","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1976","1976","ha","2034","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1976","1976","kg/ha","1578.7","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1977","1977","ha","1361","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1977","1977","kg/ha","1469.5","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1978","1978","ha","2663","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1978","1978","kg/ha","1877.6","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1979","1979","ha","2496","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1979","1979","kg/ha","1201.9","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1980","1980","ha","2874","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1980","1980","kg/ha","1391.8","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1981","1981","ha","2186","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1981","1981","kg/ha","1272.6","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1982","1982","ha","1623","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1982","1982","kg/ha","1784.3","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1983","1983","ha","2069","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1983","1983","kg/ha","1396.3","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1984","1984","ha","1627","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1984","1984","kg/ha","614.6","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1985","1985","ha","2198","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1985","1985","kg/ha","1364.9","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1986","1986","ha","2000","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1986","1986","kg/ha","2000","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1987","1987","ha","1430","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1987","1987","kg/ha","699.3","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1988","1988","ha","1580","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1988","1988","kg/ha","1442.4","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1989","1989","ha","649","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1989","1989","kg/ha","1735","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1990","1990","ha","342","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1990","1990","kg/ha","1462","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1991","1991","ha","144","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1991","1991","kg/ha","1090.3","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1992","1992","ha","141","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1992","1992","kg/ha","1546.1","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1993","1993","ha","100","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1993","1993","kg/ha","2000","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1994","1994","ha","300","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1994","1994","kg/ha","1666.7","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1995","1995","ha","1200","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1995","1995","kg/ha","1166.7","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1996","1996","ha","600","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1996","1996","kg/ha","1666.7","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1997","1997","ha","200","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1997","1997","kg/ha","1500","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1998","1998","ha","200","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1998","1998","kg/ha","1000","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1999","1999","ha","113","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","1999","1999","kg/ha","1451.3","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2000","2000","ha","138","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2000","2000","kg/ha","1282.6","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2001","2001","ha","120","E","Estimated value",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2001","2001","kg/ha","1333.3","E","Estimated value",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2002","2002","ha","153","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2002","2002","kg/ha","1307.2","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2003","2003","ha","163","I","Imputed value",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2003","2003","kg/ha","1407.4","E","Estimated value",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2004","2004","ha","150","E","Estimated value",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2004","2004","kg/ha","1425.8","E","Estimated value",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2005","2005","ha","168","I","Imputed value",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2005","2005","kg/ha","1445.6","E","Estimated value",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2006","2006","ha","170","I","Imputed value",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2006","2006","kg/ha","1466.7","E","Estimated value",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2007","2007","ha","160","E","Estimated value",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2007","2007","kg/ha","1750","E","Estimated value",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2008","2008","ha","203","I","Imputed value",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2008","2008","kg/ha","1498.5","E","Estimated value",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2009","2009","ha","209","I","Imputed value",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2009","2009","kg/ha","1470","E","Estimated value",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2010","2010","ha","225","I","Imputed value",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2010","2010","kg/ha","1483.5","E","Estimated value",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2011","2011","ha","224","I","Imputed value",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2011","2011","kg/ha","1491","E","Estimated value",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2012","2012","ha","223","I","Imputed value",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2012","2012","kg/ha","1498.5","E","Estimated value",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2013","2013","ha","222","I","Imputed value",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2013","2013","kg/ha","1506","E","Estimated value",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2014","2014","ha","219","I","Imputed value",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2014","2014","kg/ha","1493.2","E","Estimated value",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2015","2015","ha","216","I","Imputed value",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2015","2015","kg/ha","1496.1","E","Estimated value",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2016","2016","ha","225","I","Imputed value",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2016","2016","kg/ha","1502.2","E","Estimated value",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2017","2017","ha","225","I","Imputed value",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2017","2017","kg/ha","1506.9","E","Estimated value",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2018","2018","ha","","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01341","Apples","1961","1961","ha","0","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01341","Apples","1962","1962","ha","0","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01341","Apples","1963","1963","ha","0","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01341","Apples","1964","1964","ha","0","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01341","Apples","1965","1965","ha","0","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01341","Apples","1966","1966","ha","0","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01341","Apples","1967","1967","ha","0","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01341","Apples","1968","1968","ha","0","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01341","Apples","1969","1969","ha","0","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01341","Apples","1970","1970","ha","0","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01341","Apples","1971","1971","ha","0","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01341","Apples","1972","1972","ha","0","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01341","Apples","1973","1973","ha","0","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01341","Apples","1974","1974","ha","0","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01341","Apples","1975","1975","ha","0","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01341","Apples","1976","1976","ha","0","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01341","Apples","1977","1977","ha","0","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01341","Apples","1978","1978","ha","0","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01341","Apples","1979","1979","ha","0","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01341","Apples","1980","1980","ha","0","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01341","Apples","1981","1981","ha","0","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01341","Apples","1982","1982","ha","0","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01341","Apples","1983","1983","ha","0","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01341","Apples","1984","1984","ha","15500","E","Estimated value",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5412","Yield","01341","Apples","1984","1984","kg/ha","25032.3","E","Estimated value",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01341","Apples","1985","1985","ha","15568","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5412","Yield","01341","Apples","1985","1985","kg/ha","17343.3","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01341","Apples","1986","1986","ha","15800","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5412","Yield","01341","Apples","1986","1986","kg/ha","25316.5","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01341","Apples","1987","1987","ha","15800","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5412","Yield","01341","Apples","1987","1987","kg/ha","21519","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5312","Area harvested","01341","Apples","1988","1988","ha","15900","A","Official figure",""
"QCL","Crops and livestock products","528","Netherlands (Kingdom of the)","5412","Yield","01341","Apples","1988","1988","kg/ha","22830.2","A","Official figure",""
